,area,neuron density
0,ACAd,66059.01898
1,ACAv,87184.88412
2,AId,70218.45077000001
3,AIp,76680.34982999999
4,AIv,69508.04572000001
5,AUDd,99416.68909
6,AUDp,111015.5556
7,AUDpo,112271.0546
8,AUDv,114350.3926
9,ECT,108292.6979
10,FRP,83738.79407999999
11,GU,71259.83824
12,ILA,91201.47757999999
13,MOp,65189.47577999999
14,MOs,65792.20051
15,ORBl,71569.34257000001
16,ORBm,84384.42583
17,ORBvl,81393.64342000001
18,PERI,93087.28051
19,PL,83738.79407999999
20,RSPagl,92710.25078999999
21,RSPd,93418.7114
22,RSPv,109251.6743
23,SSp-bfd,81340.09657000001
24,SSp-ll,74596.52786
25,SSp-m,63498.98326
26,SSp-n,66579.20852
27,SSp-tr,97979.391
28,SSp-ul,65066.89082000001
29,SSp-un,65066.89082000001
30,SSs,82648.82732000001
31,TEa,102983.8973
32,VISC,80115.7357
33,VISa,89948.79545
34,VISal,91971.83206
35,VISam,90879.83011
36,VISl,80853.17831
37,VISli,80853.17831
38,VISp,100245.6186
39,VISpl,99440.00376
40,VISpm,143204.9486
41,VISpor,99440.00376
42,VISrl,89948.79545
