,raw SST density
ACAd,4551.419698707635
ACAv,4500.16784383385
AId,4402.610831335804
AIp,4713.983375397013
AIv,5119.118080021146
AUDd,4664.965828585721
AUDp,4620.055994867634
AUDpo,5546.423719038605
AUDv,5124.847315651617
ECT,5474.316606498996
FRP,5437.631175556215
GU,5641.945457585144
ILA,8085.511764384767
MOp,4378.087569189932
MOs,4038.4420130190165
ORBl,4544.55078786591
ORBm,5396.009958376376
ORBvl,5414.1676344023945
PERI,4792.230996402017
PL,5437.631175556215
RSPagl,6321.341961785742
RSPd,5287.480778704943
RSPv,4888.748433962241
SSp-bfd,4571.363049513646
SSp-ll,4898.717521260985
SSp-m,4498.973636725709
SSp-n,4736.8257530961955
SSp-tr,4974.935648635011
SSp-ul,4717.060512872735
SSp-un,4717.060512872735
SSs,4831.145059071279
TEa,5774.89685259145
VISC,5838.805325852709
VISa,5212.0395018285535
VISal,4862.085777556888
VISam,5447.320455772858
VISl,5149.731175495228
VISli,5149.731175495228
VISp,5032.6825448511745
VISpl,5074.86954531093
VISpm,5137.342206651735
VISpor,5074.86954531093
VISrl,5212.0395018285535
